Column	Question Text	Response Text	Question Type
doi	What is the article DOI?		free_text
covidence_number	What is the covidence citation number?		free_text
title	What is the article title?		free_text
author_list	Who were the authors of the article?		free_text
meta_purpose[replication_validation]	What was the primary purpose of the combined analysis? (Why did they combine data)	Replication or validation of targeted findings from a single cohort	select_all
meta_purpose[core_microbiome]	What was the primary purpose of the combined analysis? (Why did they combine data)	Core microbiome analysis (looking for a set of features common across all the samples)	select_all
meta_purpose[population_synthesis]	What was the primary purpose of the combined analysis? (Why did they combine data)	To compare synthesize across multiple studies to describe a population	select_all
meta_purpose[not_meta]	What was the primary purpose of the combined analysis? (Why did they combine data)	The study described didn't actually involve combining multiple data sets from multiple prior publications or sequencing data sets	select_all
meta_purpose[not_described]	What was the primary purpose of the combined analysis? (Why did they combine data)	Not described	select_all
meta_purpose[other]	What was the primary purpose of the combined analysis? (Why did they combine data)	Other	select_all
meta_purpose_other	What was the primary purpose of the combined analysis? (Why did they combine data)		free_text
meta_goal[microbiome_outcome]	What was the primary goal of this meta-analysis (what was the hypothesis they were testing)?	To characterize a microbiome-outcome association	select_all
meta_goal[microbiome_exposure]	What was the primary goal of this meta-analysis (what was the hypothesis they were testing)?	To characterize a microbiome-exposure association	select_all
meta_goal[assembly]	What was the primary goal of this meta-analysis (what was the hypothesis they were testing)?	To characterize assembly, development, or temporal variation in the microbial community	select_all
meta_goal[unqiue_microbiome]	What was the primary goal of this meta-analysis (what was the hypothesis they were testing)?	To characterize a unique microbiome (microbiome environment, population)	select_all
meta_goal[other]	What was the primary goal of this meta-analysis (what was the hypothesis they were testing)?	Other	select_all
meta_goal_other	What was the primary goal of this meta-analysis (what was the hypothesis they were testing)?		free_text
systematic_approach	Was there a clear systematic approach for gathering reference data sets?	Yes | No	select_one
search_described	Was the search strategy for this meta-analysis described?	Yes | No	select_one
prisma_included	Was a PRISMA diagram describing how papers were selected included in the paper?	Yes | No	select_one
study_inclusion	Was there a clear set of inclusion/exclusion criteria for the final studies?	Yes | No	select_one
num_studies_1o	How many studies were analyzed in the primary meta analysis, after the data was processed? (If this is not listed, leave it blank)		free_text
num_samples_1o	How many samples were analyzed in the primary meta-analysis, after the data was processed? (If not listed, leave blank)		free_text
sources_1o[consortium_authors]	What are the sources for sequencing and metadata for data included in the primary meta-analysis?	The authors of the meta-analysis or consortium	select_all
sources_1o[SRA]	What are the sources for sequencing and metadata for data included in the primary meta-analysis?	SRA/Genbank	select_all
sources_1o[ena]	What are the sources for sequencing and metadata for data included in the primary meta-analysis?	ENA	select_all
sources_1o[request_authors]	What are the sources for sequencing and metadata for data included in the primary meta-analysis?	Request to authors of the original data set (not co-authors of meta analysis)	select_all
sources_1o[mg_rast]	What are the sources for sequencing and metadata for data included in the primary meta-analysis?	MG-RAST	select_all
sources_1o[qitta]	What are the sources for sequencing and metadata for data included in the primary meta-analysis?	QIIME DB or Qiita	select_all
sources_1o[other]	What are the sources for sequencing and metadata for data included in the primary meta-analysis?	Other	select_all
sources_1o[not_described]	What are the sources for sequencing and metadata for data included in the primary meta-analysis?	Not described	select_all
sources_1o_other	What are the sources for sequencing and metadata for data included in the primary meta-analysis?		free_text
validation	Did the study include any independent validation cohorts? (not included in the original analysis)	Yes | No	select_one
num_studies_valid	How many studies were analyzed for validation (final number after processing)? (If not known, leave blank)		free_text
num_sample_validation	How many samples were analyzed for validation (final number after processing)? (if not listed, leave blank)		free_text
valid_source[consortium_authors]	What were the sources for sequences and metadata for the validation analysis?	The authors of the meta-analysis or consortium	select_all
valid_source[SRA]	What were the sources for sequences and metadata for the validation analysis?	SRA/Genbank	select_all
valid_source[ena]	What were the sources for sequences and metadata for the validation analysis?	ENA	select_all
valid_source[request_authors]	What were the sources for sequences and metadata for the validation analysis?	Request to authors of the original data set (not co-authors of meta analysis)	select_all
valid_source[mg_rast]	What were the sources for sequences and metadata for the validation analysis?	MG-RAST	select_all
valid_source[qitta]	What were the sources for sequences and metadata for the validation analysis?	QIIME DB or Qiita	select_all
valid_source[other]	What were the sources for sequences and metadata for the validation analysis?	Other	select_all
valid_source[not_described]	What were the sources for sequences and metadata for the validation analysis?	Not described	select_all
valid_source_other	What were the sources for sequences and metadata for the validation analysis?		free_text
envo[built_envo]	Which environments were included?	Built environment (i.e. house walls, office floor, etc)	select_all
envo[host]	Which environments were included?	host	select_all
envo[human]	Which environments were included?	Human-associated	select_all
envo[other]	Which environments were included?	Other	select_all
envo_other	Which environments were included?		free_text
envo_bodysite[gut]	If human or non-human animals were included, which body sites were analyzed?	Gut (Feces, rectal swab, biopsy)	select_all
envo_bodysite[oral]	If human or non-human animals were included, which body sites were analyzed?	Oral	select_all
envo_bodysite[skin]	If human or non-human animals were included, which body sites were analyzed?	Urogenital	select_all
envo_bodysite[urogenital]	If human or non-human animals were included, which body sites were analyzed?	Skin	select_all
envo_bodysite[airway]	If human or non-human animals were included, which body sites were analyzed?	Airway	select_all
envo_bodysite[other]	If human or non-human animals were included, which body sites were analyzed?	Other	select_all
envo_bodysite_other	If human or non-human animals were included, which body sites were analyzed?		free_text
species	What non-human animal species were included?		free_text
